,id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
30,803,Clouds,broken clouds,04d,stations,10000,1719041248,19800,Chandigarh,200,76.7897,30.743,40.08,40.14,40.08,40.08,998,22,998,960,3.86,235,4.04,53,IN,1719013841,1719064737,0,0,2024-06-22 07:27:28
31,804,Clouds,overcast clouds,04d,stations,10000,1719041713,19800,Bhilai,200,81.4285,21.2092,29.01,31.86,29.01,29.01,999,65,999,965,2.57,234,3.02,87,IN,1719014015,1719062337,1,9168,2024-06-22 07:35:13
32,803,Clouds,broken clouds,04d,stations,10000,1719041714,19800,Bilaspur,200,82.1554,22.08,35.41,39.71,35.41,35.41,998,45,998,969,3.32,159,3.59,83,IN,1719013732,1719062271,0,0,2024-06-22 07:35:14
33,721,Haze,haze,50d,stations,3000,1719041687,19800,Raipur,200,81.6333,21.2333,29.08,34.74,29.08,29.08,1001,79,0,0,3.6,240,0.0,75,IN,1719013963,1719062291,1,9168,2024-06-22 07:34:47
34,803,Clouds,broken clouds,04d,stations,10000,1719041714,19800,Silvassa,200,72.9967,20.2739,34.29,39.39,34.29,34.29,1001,51,1001,996,5.05,267,5.0,61,IN,1719016153,1719064246,0,0,2024-06-22 07:35:14
35,801,Clouds,few clouds,02d,stations,10000,1719041714,19800,Daman,200,72.8324,20.4143,32.46,39.19,32.46,32.46,1001,63,1001,1000,4.01,245,4.75,16,IN,1719016176,1719064303,0,0,2024-06-22 07:35:14
36,803,Clouds,broken clouds,04d,stations,10000,1719041715,19800,Gogola,200,70.988,20.7151,33.44,40.44,33.44,33.44,1000,61,1000,998,7.4,246,6.95,60,IN,1719016582,1719064782,0,0,2024-06-22 07:35:15
37,721,Haze,haze,50d,stations,3000,1719041587,19800,Delhi,200,77.2315,28.652,37.03,39.75,37.03,37.03,1001,36,0,0,1.54,10,0.0,75,IN,1719014040,1719064327,1,9165,2024-06-22 07:33:07
38,721,Haze,haze,50d,stations,3000,1719041716,19800,"Parliament House, Delhi",200,77.2,28.6,35.05,39.29,35.05,35.05,1000,46,0,0,4.12,110,0.0,75,IN,1719014055,1719064327,1,9165,2024-06-22 07:35:16
39,804,Clouds,overcast clouds,04d,stations,10000,1719041716,19800,Panjim,200,73.8245,15.4983,29.69,34.52,29.69,29.69,1004,71,1004,1003,4.13,273,4.97,95,IN,1719016517,1719063485,0,0,2024-06-22 07:35:16
